policy,k,query_type,repetitions,events,mean_prediction_hit,median_prediction_hit,mean_target_rank,median_target_rank,mean_candidate_universe_size,median_candidate_universe_size,mean_prompt_tokens,median_prompt_tokens,mean_capacity_bytes,median_capacity_bytes,mean_ready_cache_ttft_ms,median_ready_cache_ttft_ms,mean_request_e2e_ms,median_request_e2e_ms,mean_policy_ms,median_policy_ms,mean_current_access_ttft_ms,median_current_access_ttft_ms,mean_current_access_request_ms,median_current_access_request_ms,mean_speculative_population_ms,median_speculative_population_ms,mean_available_overlap_ms,median_available_overlap_ms,mean_exposed_population_ms,median_exposed_population_ms,mean_end_to_end_ttft_ms,median_end_to_end_ttft_ms,mean_end_to_end_request_ms,median_end_to_end_request_ms,mean_prefetch_bytes_scheduled,median_prefetch_bytes_scheduled,mean_prefetch_bytes_completed,median_prefetch_bytes_completed,mean_prefetch_completion_fraction,median_prefetch_completion_fraction,mean_shadow_residency_before_prefetch,median_shadow_residency_before_prefetch,mean_shadow_residency_hit,median_shadow_residency_hit,mean_shadow_current_prefetch_hit,median_shadow_current_prefetch_hit,mean_shadow_cache_bytes_after,median_shadow_cache_bytes_after,mean_lmcache_retrieved_tokens_delta,median_lmcache_retrieved_tokens_delta,mean_lmcache_stored_tokens_delta,median_lmcache_stored_tokens_delta,mean_vllm_prefix_cache_hit_tokens_delta,median_vllm_prefix_cache_hit_tokens_delta,mean_population_request_count,median_population_request_count,mean_population_prompt_tokens,median_population_prompt_tokens,mean_predicted_count,median_predicted_count,mean_completed_prefetch_count,median_completed_prefetch_count,mean_current_insert_eviction_count,median_current_insert_eviction_count,mean_prefetch_eviction_count,median_prefetch_eviction_count,mean_target_insert_eviction_count,median_target_insert_eviction_count,mean_online_updated,median_online_updated,mean_retry_count,median_retry_count,mean_prefetch_completed_before_demand,median_prefetch_completed_before_demand,mean_request_success,median_request_success
cosine,10,semantic,2,300,0.5933333333333334,1.0,3.5842696629213484,2.0,917.0,917.0,366.22,385.0,536870912.0,536870912.0,53.316986523333334,54.788019500000004,53.41589326333333,54.868365,0.24347501000000005,0.20207,60.04171121333333,62.425231,60.14318156,62.528853999999995,674.7624310533333,685.9297329999999,0.0,0.0,674.7624310533333,685.9297329999999,728.3228925866666,739.8194995,728.4217993266667,739.9601625,122464938.66666667,124043264.0,122464938.66666667,124043264.0,1.0,1.0,0.15333333333333332,0.0,0.6066666666666667,1.0,0.47333333333333333,0.0,529772489.38666666,530743296.0,193.35666666666665,0.0,174.15666666666667,0.0,164.61,0.0,10.0,10.0,3747.3333333333335,3795.5,10.0,10.0,10.0,10.0,0.88,1.0,8.74,10.0,0.41333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cosine,10,structural,2,300,0.49333333333333335,0.0,4.162162162162162,4.0,917.0,917.0,374.6933333333333,385.0,536870912.0,536870912.0,55.34654166,60.8434155,55.448587829999994,60.947832,0.24177747333333333,0.2039405,60.08727780000001,61.680113,60.18960368666667,61.83982,678.9918132299999,690.3184315,0.0,0.0,678.9918132299999,690.3184315,734.5801323633333,749.5677195000001,734.6821785333334,749.6678589999999,122461661.86666666,123961344.0,122461661.86666666,123961344.0,1.0,1.0,0.13333333333333333,0.0,0.54,1.0,0.4066666666666667,0.0,528862631.25333333,530399232.0,160.50333333333333,0.0,168.55666666666667,0.0,151.09,0.0,10.0,10.0,3747.233333333333,3793.0,10.0,10.0,10.0,10.0,0.8733333333333333,1.0,8.773333333333333,10.0,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,all,2,1200,0.7616666666666667,1.0,4.035010940919038,4.0,284.77666666666664,281.0,372.8883333333333,385.0,536870912.0,536870912.0,51.42257828333333,52.47058,51.52279148666666,52.565024,5.074514469166666,4.5616275,58.9450484875,59.9440225,59.0502031125,60.0432105,666.5393332824999,681.3070815000001,0.0,0.0,666.5393332824999,681.3070815000001,723.0364260349999,736.9948275,723.1366392383334,737.0901625,121448420.69333333,121602048.0,121448420.69333333,121602048.0,1.0,1.0,0.155,0.0,0.7816666666666666,1.0,0.63,1.0,529134059.52,530219008.0,246.98416666666665,384.0,135.02416666666667,0.0,225.28333333333333,383.0,10.0,10.0,3716.3116666666665,3721.0,10.0,10.0,10.0,10.0,0.8516666666666667,1.0,8.661666666666667,10.0,0.21333333333333335,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,multi-hop,2,600,0.75,1.0,3.8266666666666667,3.0,287.12666666666667,283.0,375.32,385.0,536870912.0,536870912.0,51.94598949333333,53.3212515,52.04569867833333,53.413557499999996,5.1660690549999995,4.606527,58.58278249166667,59.854206000000005,58.684562175,59.940578,666.4693559416667,680.9246805,0.0,0.0,666.4693559416667,680.9246805,723.5814144899999,737.19261,723.6811236750001,737.2841114999999,121528647.68,121602048.0,121528647.68,121602048.0,1.0,1.0,0.15,0.0,0.77,1.0,0.6233333333333333,1.0,528759848.96,529858560.0,247.75333333333333,384.0,131.03333333333333,0.0,226.44,383.0,10.0,10.0,3718.76,3721.0,10.0,10.0,10.0,10.0,0.8533333333333334,1.0,8.763333333333334,10.0,0.23,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,semantic,2,300,0.7933333333333333,1.0,4.899159663865547,5.0,280.02666666666664,278.0,366.22,385.0,536870912.0,536870912.0,50.760589753333335,51.0988335,50.86144100999999,51.1863465,4.897497296666667,4.330606,59.205463046666665,60.5032245,59.32125337666667,60.58767,664.8236192433334,682.2183024999999,0.0,0.0,664.8236192433334,682.2183024999999,720.4817062933333,737.6516275000001,720.5825575499999,737.862029,121385997.65333334,121569280.0,121385997.65333334,121569280.0,1.0,1.0,0.19333333333333333,0.0,0.82,1.0,0.6333333333333333,1.0,529990724.26666665,530628608.0,251.13,336.0,148.30333333333334,0.0,219.88333333333333,336.0,10.0,10.0,3714.4066666666668,3720.0,10.0,10.0,10.0,10.0,0.8466666666666667,1.0,8.466666666666667,10.0,0.17333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
graph_fixed,10,structural,2,300,0.7533333333333333,1.0,3.5398230088495577,3.0,284.82666666666665,287.0,374.6933333333333,385.0,536870912.0,536870912.0,51.037744393333334,52.283669,51.13832758,52.384949500000005,5.068422470000001,4.603992,59.40916591999999,59.863609,59.51043472333333,59.9813875,668.3950020033333,681.4465055000001,0.0,0.0,668.3950020033333,681.4465055000001,724.5011688666666,736.3376195,724.6017520533334,736.445205,121350389.76,121602048.0,121350389.76,121602048.0,1.0,1.0,0.12666666666666668,0.0,0.7666666666666667,1.0,0.64,1.0,529025815.8933333,530825216.0,241.3,384.0,129.72666666666666,0.0,228.37,384.0,10.0,10.0,3713.32,3721.0,10.0,10.0,10.0,10.0,0.8533333333333334,1.0,8.653333333333334,10.0,0.22,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,all,2,1200,0.0,0.0,,,0.0,0.0,372.8883333333333,385.0,536870912.0,536870912.0,56.027816992500014,60.3113395,56.133111498333335,60.3993095,0.006713418333333333,0.0057735,57.68691251250001,61.626642000000004,57.78956953249999,61.731879,0.0,0.0,0.0,0.0,0.0,0.0,56.03453041083332,60.316855000000004,56.13982491666667,60.405005,0.0,0.0,0.0,0.0,1.0,1.0,0.285,0.0,0.285,0.0,0.0,0.0,519022673.92,527433728.0,97.81166666666667,0.0,249.65166666666667,384.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7016666666666667,1.0,0.0,0.0,0.66,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,multi-hop,2,600,0.0,0.0,,,0.0,0.0,375.32,385.0,536870912.0,536870912.0,56.500608345,60.300655000000006,56.60489099000001,60.3851495,0.007010411666666666,0.0057395,57.201706980000004,60.864101500000004,57.30470589166667,60.9648975,0.0,0.0,0.0,0.0,0.0,0.0,56.50761875666666,60.306272500000006,56.611901401666664,60.390767,0.0,0.0,0.0,0.0,1.0,1.0,0.2866666666666667,0.0,0.2866666666666667,0.0,0.0,0.0,522851778.56,527368192.0,92.35833333333333,0.0,248.59833333333333,384.0,90.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6966666666666667,1.0,0.0,0.0,0.67,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,semantic,2,300,0.0,0.0,,,0.0,0.0,366.22,385.0,536870912.0,536870912.0,53.03311059999999,56.3204605,53.14364861,56.517909,0.0059533066666666665,0.0057885,57.23380392000001,61.215897999999996,57.33730003000001,61.3192025,0.0,0.0,0.0,0.0,0.0,0.0,53.03906390666667,56.326345,53.14960191666666,56.524135,0.0,0.0,0.0,0.0,1.0,1.0,0.3466666666666667,0.0,0.3466666666666667,0.0,0.0,0.0,512384914.7733333,526893056.0,130.91666666666666,0.0,228.46333333333334,336.0,122.47333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.58,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,structural,2,300,0.0,0.0,,,0.0,0.0,374.6933333333333,385.0,536870912.0,536870912.0,58.07694067999999,62.29038,58.179015403333324,62.377007500000005,0.006879543333333333,0.005844,59.11043217000001,62.563152,59.211566316666676,62.6542855,0.0,0.0,0.0,0.0,0.0,0.0,58.083820223333326,62.296686,58.185894946666664,62.3833135,0.0,0.0,0.0,0.0,1.0,1.0,0.22,0.0,0.22,0.0,0.0,0.0,518002223.7866667,528351232.0,75.61333333333333,0.0,272.94666666666666,384.0,72.50666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,1.0,0.0,0.0,0.72,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
