model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,34,structural,77.6904,0.0,0.0,0,1,1,136,392,392,80564191232,80564191232,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,35,semantic,0.0,0.0,0.0,1,1,1,125,381,381,76106170368,76106170368,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,36,structural,39.1211,0.0,0.0,0,1,1,111,367,367,70615826432,70615826432,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,37,multi-hop,36.3265,0.0,88.8051,0,1,0,103,359,359,67570761728,67570761728,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,38,multi-hop,47.7156,0.0,0.0,0,1,1,140,396,396,82216747008,82216747008,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,39,multi-hop,40.4162,55.084,0.0,0,0,1,115,371,371,72163524608,72163524608,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,40,semantic,89.392,0.0,0.0,0,1,1,106,362,362,68704796672,68704796672,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,41,multi-hop,56.0689,59.3274,0.0,0,0,1,107,363,363,69084905472,69084905472,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,42,semantic,72.4255,0.0,0.0,0,1,1,102,358,358,67194847232,67194847232,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,43,semantic,27.0393,0.0,0.0,0,1,1,5,261,261,35715022848,35715022848,8.615,0.03
