model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,181,structural,47.9357,54.8272,52.9413,0,0,0,113,369,369,46848098304,46848098304,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,182,multi-hop,38.4369,0.0,0.0,0,1,1,2,14,15,67436544,77414400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,183,multi-hop,48.8285,0.0,54.8494,0,1,0,117,373,373,47869280256,47869280256,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,184,structural,45.7497,53.5892,58.1386,0,0,0,9,90,265,2786918400,24161894400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,185,multi-hop,67.6655,0.0,79.2755,0,1,0,88,344,344,40715157504,40715157504,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,186,semantic,64.7373,0.0,0.0,0,1,1,105,361,361,44838764544,44838764544,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,187,multi-hop,48.9764,60.1608,56.371,0,0,0,51,307,307,32427687936,32427687936,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,188,multi-hop,50.136,0.0,72.7225,0,1,0,58,314,314,33923334144,33923334144,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,189,structural,61.223,70.3558,68.946,0,0,0,24,280,280,26974617600,26974617600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,190,structural,65.3514,80.7086,76.9838,0,0,0,21,277,277,26399686656,26399686656,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,191,structural,68.3031,74.9141,72.5887,0,0,0,64,320,320,35232153600,35232153600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,192,multi-hop,38.3579,0.0,0.0,0,1,1,5,261,261,23437983744,23437983744,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,193,semantic,54.77,0.0,0.0,0,1,1,26,282,282,27361345536,27361345536,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,194,multi-hop,46.5798,54.603,0.0,0,0,1,4,198,260,13488685056,23258726400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,195,multi-hop,54.0751,55.2013,0.0,0,0,1,112,368,368,46594523136,46594523136,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,196,multi-hop,37.9265,0.0,0.0,0,1,1,10,59,181,1197686784,11271880704,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,197,semantic,64.5995,0.0,75.0651,0,1,0,98,354,354,43116724224,43116724224,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,198,semantic,0.0,0.0,0.0,1,1,1,10,101,59,3509796864,1197686784,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,199,semantic,64.5438,0.0,0.0,0,1,1,108,364,364,45587103744,45587103744,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,200,multi-hop,49.9246,70.4864,64.3477,0,0,0,2,158,139,8589213696,6647660544,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,201,multi-hop,58.6083,0.0,0.0,0,1,1,47,303,303,31588171776,31588171776,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,202,semantic,54.6656,0.0,70.6421,0,1,0,27,283,283,27555741696,27555741696,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,203,semantic,66.0272,0.0,0.0,0,1,1,104,360,360,44590694400,44590694400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,204,multi-hop,60.2506,71.3532,68.1807,0,0,0,125,381,381,49944674304,49944674304,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,205,multi-hop,41.4477,45.6227,0.0,0,0,1,124,380,380,49682841600,49682841600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,206,multi-hop,61.7445,0.0,0.0,0,1,1,102,358,358,44096618496,44096618496,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,207,multi-hop,66.4584,0.0,0.0,0,1,1,128,384,384,50734301184,50734301184,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,208,semantic,38.8734,0.0,44.3502,0,1,0,9,212,265,15463612416,24161894400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,209,semantic,56.9824,0.0,0.0,0,1,1,64,320,320,35232153600,35232153600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,210,multi-hop,64.956,0.0,76.6154,0,1,0,119,375,375,48384000000,48384000000,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,211,multi-hop,57.7285,68.7113,0.0,0,0,1,78,334,334,38382403584,38382403584,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,212,semantic,47.5497,0.0,0.0,0,1,1,86,342,342,40243101696,40243101696,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,213,structural,57.5958,49.8047,67.0096,0,0,0,64,320,320,35232153600,35232153600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,214,multi-hop,66.9895,0.0,57.1401,0,1,0,117,373,373,47869280256,47869280256,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,215,multi-hop,65.3011,69.11,71.3493,0,0,0,131,387,387,51530121216,51530121216,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,216,multi-hop,61.7158,0.0,0.0,0,1,1,109,365,365,45837926400,45837926400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,217,semantic,60.6771,0.0,0.0,0,1,1,66,322,322,35673931776,35673931776,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,218,semantic,66.8843,0.0,0.0,0,1,1,99,355,355,43360665600,43360665600,8.317,0.107
