model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,477,multi-hop,38.5856,0.0,0.0,0.0,0,1,1,1,47,303,303,303,15794085888,15794085888,15794085888,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,478,structural,54.5867,45.5911,21.1454,0.0,0,0,0,1,5,108,137,261,2006581248,3228868608,11718991872,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,479,structural,57.683,20.0969,30.2935,0.0,0,0,0,1,96,352,352,352,21315452928,21315452928,21315452928,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,480,semantic,18.9772,0.0,0.0,0.0,0,1,1,1,78,334,334,334,19191201792,19191201792,19191201792,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,481,multi-hop,23.1083,23.4147,23.8946,0.0,0,0,0,1,150,406,406,406,28357066752,28357066752,28357066752,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,482,structural,45.0224,22.7173,0.0,0.0,0,0,1,1,114,370,370,370,23551180800,23551180800,23551180800,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,483,structural,15.3072,28.5376,20.641,36.0463,0,0,0,0,5,108,137,261,2006581248,3228868608,11718991872,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,484,multi-hop,22.7946,23.9259,0.0,0.0,0,0,1,1,111,367,367,367,23170818048,23170818048,23170818048,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,485,multi-hop,42.6607,0.0,0.0,0.0,0,1,1,1,110,366,366,366,23044718592,23044718592,23044718592,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,486,multi-hop,45.7862,0.0,31.1274,36.7519,0,1,0,0,110,366,366,366,23044718592,23044718592,23044718592,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,487,semantic,38.8549,0.0,0.0,30.7249,0,1,1,0,122,378,378,378,24580620288,24580620288,24580620288,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,488,multi-hop,55.6874,0.0,0.0,45.5936,0,1,1,0,45,301,301,301,15586271232,15586271232,15586271232,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,489,multi-hop,19.5969,0.0,0.0,0.0,0,1,1,1,142,398,398,398,27250556928,27250556928,27250556928,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,490,structural,45.6599,53.6303,35.264,0.0,0,0,0,1,32,288,288,288,14269022208,14269022208,14269022208,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,491,structural,56.1673,42.0001,26.3889,0.0,0,0,0,1,5,261,173,261,11718991872,5148745728,11718991872,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,492,structural,45.7542,35.2655,55.5177,47.8764,0,0,0,0,86,342,342,342,20121550848,20121550848,20121550848,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,493,multi-hop,50.5636,0.0,0.0,0.0,0,1,1,1,85,341,341,341,20004052992,20004052992,20004052992,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,494,multi-hop,28.777,39.7488,23.1457,0.0,0,0,0,1,100,356,356,356,21802647552,21802647552,21802647552,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
