m,k,policy,baseline,paired_events,document_clusters,mean_recall_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
20,10,offline,cosine,600,20,0.14833333333333334,0.09166666666666666,0.20666666666666667
20,10,online,cosine,600,20,0.14666666666666667,0.09333333333333334,0.205
20,10,semantic_only,cosine,600,20,0.0,0.0,0.0
20,10,structure,cosine,600,20,0.075,0.045,0.11
20,10,two_hop,cosine,600,20,0.09,0.051666666666666666,0.12833333333333333
25,10,offline,cosine,600,20,0.16,0.10333333333333333,0.22166666666666668
25,10,online,cosine,600,20,0.16,0.10162500000000002,0.22
25,10,semantic_only,cosine,600,20,0.0,0.0,0.0
25,10,structure,cosine,600,20,0.08166666666666667,0.04995833333333335,0.12166666666666667
25,10,two_hop,cosine,600,20,0.1,0.06333333333333334,0.13666666666666666
30,10,offline,cosine,600,20,0.16,0.10333333333333333,0.21833333333333332
30,10,online,cosine,600,20,0.16,0.10333333333333333,0.22166666666666668
30,10,semantic_only,cosine,600,20,0.0,0.0,0.0
30,10,structure,cosine,600,20,0.09166666666666666,0.056666666666666664,0.13333333333333333
30,10,two_hop,cosine,600,20,0.1,0.065,0.13666666666666666
5,16,offline,cosine,600,20,0.09,0.04329166666666668,0.14166666666666666
5,16,online,cosine,600,20,0.1,0.05333333333333334,0.15
5,16,semantic_only,cosine,600,20,-0.12333333333333334,-0.17333333333333334,-0.08
5,16,structure,cosine,600,20,-0.10833333333333334,-0.155,-0.06666666666666667
5,16,two_hop,cosine,600,20,0.02666666666666667,-0.008333333333333333,0.06
10,16,offline,cosine,600,20,0.1,0.056666666666666664,0.14833333333333334
10,16,online,cosine,600,20,0.08,0.04,0.12666666666666668
10,16,semantic_only,cosine,600,20,-0.023333333333333334,-0.04666666666666667,-0.005
10,16,structure,cosine,600,20,-0.011666666666666667,-0.03166666666666667,0.006666666666666667
10,16,two_hop,cosine,600,20,0.06333333333333334,0.028333333333333332,0.10333333333333333
15,16,offline,cosine,600,20,0.11833333333333333,0.07166666666666667,0.16833333333333333
15,16,online,cosine,600,20,0.11833333333333333,0.07333333333333333,0.16833333333333333
15,16,semantic_only,cosine,600,20,-0.0033333333333333335,-0.008333333333333333,0.0
15,16,structure,cosine,600,20,0.015,0.0016666666666666668,0.03166666666666667
15,16,two_hop,cosine,600,20,0.06833333333333333,0.03333333333333333,0.10833333333333334
20,16,offline,cosine,600,20,0.12,0.07333333333333333,0.17166666666666666
20,16,online,cosine,600,20,0.12,0.07333333333333333,0.17
20,16,semantic_only,cosine,600,20,0.0,0.0,0.0
20,16,structure,cosine,600,20,0.03166666666666667,0.013333333333333334,0.051666666666666666
20,16,two_hop,cosine,600,20,0.07166666666666667,0.035,0.115
25,16,offline,cosine,600,20,0.12666666666666668,0.07833333333333334,0.18
25,16,online,cosine,600,20,0.12666666666666668,0.07833333333333334,0.17666666666666667
25,16,semantic_only,cosine,600,20,0.0,0.0,0.0
25,16,structure,cosine,600,20,0.03833333333333333,0.018333333333333333,0.06166666666666667
25,16,two_hop,cosine,600,20,0.07833333333333334,0.04,0.12166666666666667
30,16,offline,cosine,600,20,0.12833333333333333,0.08,0.18
30,16,online,cosine,600,20,0.12833333333333333,0.07833333333333334,0.18333333333333332
30,16,semantic_only,cosine,600,20,0.0,0.0,0.0
30,16,structure,cosine,600,20,0.05,0.025,0.07833333333333334
30,16,two_hop,cosine,600,20,0.07833333333333334,0.03833333333333333,0.12333333333333334
