source_file,k,policy,questions,mean_em,mean_f1
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,200,0.01,0.033598
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,200,0.01,0.0480035
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,cosine,200,0.0,0.0186975
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,200,0.005,0.023451
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,200,0.005,0.0255185
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,cosine,200,0.0,0.016705499999999998
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,200,0.0,0.018451
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,200,0.0,0.019287
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,cosine,200,0.015,0.086049
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,200,0.01,0.082007
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,200,0.015,0.0790485
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,cosine,200,0.025,0.11369349999999999
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,200,0.005,0.074608
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,200,0.02,0.1038735
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,cosine,200,0.04,0.1225355
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,200,0.025,0.0977185
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,200,0.025,0.10738249999999999
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,cosine,200,0.045,0.12572399999999997
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,200,0.04,0.1158235
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,200,0.04,0.120667
