source_file,k,policy,baseline,metric,questions,mean_delta,ci_low,ci_high
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,cosine,f1,200,-0.005555000000000001,-0.019353199999999997,0.005066074999999992
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,cosine,em,200,0.0,-0.015,0.015
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,cosine,f1,200,-0.00687,-0.0233762,0.009173512499999979
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,cosine,em,200,0.0,-0.04,0.035
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,cosine,f1,200,0.002162500000000003,-0.03518158749999999,0.03999008749999999
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,cosine,em,200,0.0,-0.045,0.045
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,cosine,f1,200,0.005451000000000008,-0.03933965,0.05044871250000001
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,cosine,em,200,-0.015,-0.06,0.03
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,cosine,f1,200,-0.0165685,-0.060885762499999996,0.02740062499999999
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,cosine,em,200,0.005,-0.035,0.045
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,cosine,f1,200,0.001051000000000004,-0.0412811,0.044041274999999956
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,em,200,-0.035,-0.085,0.015
