split,m,k,policy,query_type,events,prediction_recall,candidate_coverage,mean_target_rank,median_target_rank,mean_candidate_universe,online_update_rate
dev,5,6,two_hop,structural,150,0.7533333333333333,0.9466666666666668,5.112676056338028,3.0,19.78,0.0
dev,5,10,cosine,all,600,0.8733333333333333,1.0,13.755,3.0,1222.0,0.0
dev,5,10,cosine,multi-hop,300,0.88,1.0,13.59,3.0,1222.0,0.0
dev,5,10,cosine,semantic,150,0.9733333333333334,1.0,3.52,2.0,1222.0,0.0
dev,5,10,cosine,structural,150,0.76,1.0,24.32,4.0,1222.0,0.0
dev,5,10,offline,all,600,0.9683333333333334,0.98,4.520408163265306,4.0,21.016666666666666,0.0
dev,5,10,offline,multi-hop,300,0.9833333333333332,0.99,4.414141414141414,4.0,21.566666666666663,0.0
dev,5,10,offline,semantic,150,0.98,0.9933333333333332,5.624161073825503,5.0,21.15333333333333,0.0
dev,5,10,offline,structural,150,0.9266666666666666,0.9466666666666668,3.584507042253521,3.0,19.78,0.0
dev,5,10,online,all,600,0.96,0.98,4.704081632653061,4.0,21.016666666666666,0.02
dev,5,10,online,multi-hop,300,0.97,0.99,4.65993265993266,4.0,21.566666666666663,0.02
dev,5,10,online,semantic,150,0.9733333333333334,0.9933333333333332,5.664429530201343,5.0,21.15333333333333,0.02
dev,5,10,online,structural,150,0.9266666666666666,0.9466666666666668,3.788732394366197,3.0,19.78,0.02
dev,5,10,semantic_only,all,600,0.8066666666666666,0.8066666666666666,2.7107438016528924,2.0,6.895,0.0
dev,5,10,semantic_only,multi-hop,300,0.7866666666666666,0.7866666666666666,2.7415254237288136,2.0,6.953333333333333,0.0
dev,5,10,semantic_only,semantic,150,0.9466666666666668,0.9466666666666668,2.2464788732394365,2.0,7.013333333333334,0.0
dev,5,10,semantic_only,structural,150,0.7066666666666667,0.7066666666666667,3.2641509433962264,3.0,6.66,0.0
dev,5,10,structure,all,600,0.8133333333333334,0.8133333333333334,3.112704918032787,3.0,7.155,0.0
dev,5,10,structure,multi-hop,300,0.7866666666666666,0.7866666666666666,3.0762711864406778,3.0,7.23,0.0
dev,5,10,structure,semantic,150,0.9466666666666668,0.9466666666666668,3.218309859154929,3.0,7.26,0.0
dev,5,10,structure,structural,150,0.7333333333333333,0.7333333333333333,3.0545454545454547,3.0,6.9,0.0
